Plant Code,Nameplate Capacity (MW),Plant Name,State
46.0,3494.0,Browns Ferry,AL
204.0,1138.3,Clinton Power Station,IL
210.0,1267.7,Wolf Creek Generating Station,KS
371.0,1200.0,Columbia Generating Station,WA
566.0,2162.9,Millstone,CT
621.0,1637.2,Turkey Point,FL
649.0,2430.0,Vogtle,GA
869.0,2018.6,Dresden Generating Station,IL
880.0,2018.6,Quad Cities Generating Station,IL
1715.0,811.8,Palisades,MI
1729.0,1217.0,Fermi,MI
1922.0,685.0,Monticello Nuclear Facility,MN
1925.0,1186.2,Prairie Island,MN
2410.0,2340.0,PSEG Salem Generating Station,NJ
2589.0,1901.1,Nine Mile Point Nuclear Station,NY
3166.0,2876.4,Peach Bottom,PA
3251.0,768.6,H B Robinson,SC
3265.0,2666.7,Oconee,SC
3806.0,1695.0,Surry,VA
4046.0,1286.0,Point Beach Nuclear Plant,WI
4270.0,1199.8,Waterford 3,LA
6000.0,2285.3,Donald C Cook,MI
6001.0,1776.4,Joseph M Farley,AL
6008.0,4209.6,Palo Verde,AZ
6011.0,1850.4,Calvert Cliffs Nuclear Power Plant,MD
6014.0,2003.2,Brunswick Nuclear,NC
6015.0,950.9,Harris,NC
6020.0,1311.6,Perry,OH
6022.0,2449.8,Braidwood Generation Station,IL
6023.0,2449.8,Byron Generating Station,IL
6026.0,2340.0,LaSalle Generating Station,IL
6036.0,2410.2,Catawba,SC
6038.0,2440.6,McGuire,NC
6040.0,1846.8,Beaver Valley,PA
6045.0,2160.0,St Lucie,FL
6051.0,1848.0,Edwin I Hatch,GA
6072.0,1440.0,Grand Gulf,MS
6099.0,2323.0,Diablo Canyon,CA
6103.0,2532.0,TalenEnergy Susquehanna,PA
6105.0,2277.0,Limerick,PA
6110.0,883.3,James A Fitzpatrick,NY
6115.0,1242.0,Seabrook,NH
6118.0,1290.7,PSEG Hope Creek Generating Station,NJ
6122.0,614.0,R E Ginna Nuclear Power Plant,NY
6127.0,1029.6,V C Summer,SC
6145.0,2430.0,Comanche Peak,TX
6149.0,925.2,Davis Besse,OH
6152.0,2441.0,Sequoyah,TN
6153.0,1235.8,Callaway,MO
6168.0,1959.4,North Anna,VA
6251.0,2708.6,South Texas Project,TX
6462.0,1035.9,River Bend,LA
7722.0,2539.8,Watts Bar Nuclear Plant,TN
8036.0,801.0,Cooper Nuclear Station,NE
8055.0,1845.0,Arkansas Nuclear One,AR
8907.0,1012.0,Indian Point 3,NY
